course_link,course_name,course_number,course_organization,course_price,course_task
//ke.qq.com/course/103823,祝凯绘画——光线概括系统教学课程（上）（绘画基础入门课程）,586人购买,祝凯,"￥8,376.22",共15节
//ke.qq.com/course/104615#term_id=100516313,PS淘宝美工免费班/PS教程+网店装修+主图海报+PS设计 平面设计 PS,8366人最近报名,,免费,共38节
//ke.qq.com/course/106415,（直播+视频）室内设计3DMAX建模-家装工装效果图制作CAD-PS-VRAY,317人最近报名,艾巴优教育,免费,共30节
//ke.qq.com/course/111616#term_id=100119854,【录播】自然拼读法Phonics-英语零基础口语发音入门课程初学必选,5090人购买,e学苑在线教育,￥377.22,共89节
//ke.qq.com/course/116530,公务员面试公开课（适用国考、事业单位）【诚真公考】,025人最近报名,诚真公考,免费,共5节
//ke.qq.com/course/117001#term_id=100337234,UI/UE设计 APP/网页/交互设计/动效设计 PS 高薪实战班,147人最近报名,,免费,共8节
//ke.qq.com/course/119736,和小白一起学设计,5862人购买,品格设计课堂,￥77.22,共25节
//ke.qq.com/course/122221,【直播】恋爱技巧/情感聊天技巧/婚姻情感挽回,5791人最近报名,,免费,共4节
//ke.qq.com/course/126432,摄影后期/人像精修/中国风后期调色/风光修图/工笔画/影楼后期,700人最近报名,光影学院,免费,共8节
//ke.qq.com/course/126843#term_id=100516313,【直播】0基础水彩 水彩古风 水彩插画 手绘淡彩 小清新【HESUN】,587人最近报名,合尚教育,免费,进度：1/1节
//ke.qq.com/course/127193,2020公务员国考省考行测申论提分课【诚真公考】,802人最近报名,诚真公考,免费,共2节
//ke.qq.com/course/127207,高级时装立体裁剪免费试学【艺服在线教学】,95人最近报名,艺服教育,免费,共5节
//ke.qq.com/course/127439,【北京峰源】混凝土结构设计实战免费公开课,596人最近报名,,免费,共47节
//ke.qq.com/course/131630,廓形立体裁剪【艺服在线教学】,31人最近报名,艺服教育,免费,共8节
//ke.qq.com/course/134875,【北京峰源】安装工程造价（水电暖消防 招投标预算结算 广联达）,144人最近报名,,免费,进度：16/16节
//ke.qq.com/course/141269,UG塑胶模具设计VIP精品体验课/汽车模/3D分模/2D排位/模具结构,385人最近报名,明辉教育,免费,共11节
//ke.qq.com/course/152110,色彩搭配 服装搭配 形象设计 . OS形象设计中心  时尚公开课,315人最近报名,欧艾教育,免费,共2节
//ke.qq.com/course/152855,零基础学化妆 .OS形象设计中心 时尚公开课,944人最近报名,欧艾教育,免费,共4节
//ke.qq.com/course/153616,PS/PS综合平面设计/PS/AI平面设计/版式/字体/LOGO/VI/海报/为课,937人最近报名,,免费,共12节
//ke.qq.com/course/155600#term_id=100516313,PS教程 免费 PhotoShop  美工教程 平面设计 淘宝装修 PS淘宝美工,3053人最近报名,,免费,共33节
//ke.qq.com/course/157433,PS AI平面设计/配色/版式/海报/画册/折页/包装/logo/字体设计/VI,5528人最近报名,,免费,共15节
//ke.qq.com/course/158475,【优梯教育】新手开店找货源 手淘首页低价引流 微淘钻展运营技巧,5942人最近报名,优梯教育,免费,进度：9/21节
//ke.qq.com/course/159394,零基础学搭配，做时尚达人！,536人最近报名,欧艾教育,免费,共1节
//ke.qq.com/course/163029,Web前端经典实战教程【软谋教育】,84人最近报名,软谋教育,免费,共2节
//ke.qq.com/course/163704,千代手绳系统教学课程 初级基础班,352人购买,千代,"￥3,176.22",共181节
//ke.qq.com/course/166039,立体裁剪+平面打版/平立一体互通打版体验课【艺服教育】,547人最近报名,艺服教育,免费,共3节
//ke.qq.com/course/167654,(培训直播)3dmax高级家具建模产品建模-MD布料建模3d模型,5229人购买,扮家家特训营,"￥5,666.22",随到随学
//ke.qq.com/course/171018,将军学院-平面设计 PS教程 淘宝美工 店铺装修 photoshop 抠图,929人最近报名,将军学院,免费,共14节
//ke.qq.com/course/178625#term_id=100337234,土建直播公开课2-广联达BIM预算案例实操【启程学院】,5284人最近报名,启程学院,免费,共141节
//ke.qq.com/course/182135,零基础学虚幻4(UE4)第一季：UE4基础操作,356人最近报名,丁树凯,免费,共31节
//ke.qq.com/course/184101,【北京峰源】一级注册结构/岩土工程师基础考试免费公开课,958人最近报名,,免费,共19节
//ke.qq.com/course/185617,犀牛Rhino 5.0基本工具讲解与案例分析快速入门基础课程,5967人购买,,￥5.22,共20节
//ke.qq.com/course/185969,高级女装制版全套深造技术--VIP一班级【艺服在线教学】,022人购买,艺服教育,"￥5,876.22",共43节
//ke.qq.com/course/191621,女装配领技术-服装打版制版【艺服在线教学】,5772人购买,艺服教育,￥566.22,共17节
//ke.qq.com/course/1932,C4D+PS电商设计实战 进阶提升 C4D电商视觉 PS网店美工,87人最近报名,云艺帆教育,免费,共1节
//ke.qq.com/course/196123,UI UE 设计 PS APP设计 网页设计 交互设计 AE动效 网页代码,543人最近报名,,免费,共4节
//ke.qq.com/course/199990#term_id=100423390,EVE+GNS3模拟器讲解 思科认证网络工程师 CCNA/CCNP/CCIE,06人最近报名,,免费,共3节
//ke.qq.com/course/200080,高级服装打版制版纸样VIP课程录像,039人购买,山本教育,￥7.72,共5节
//ke.qq.com/course/200607,【公开课】小学生三年级英语阅读【金伟博】,554人最近报名,金伟博教育,免费,共2节
//ke.qq.com/course/200938,3DMAX效果图设计零基础入门系统录播视频,947人购买,,￥52.22,共6节
//ke.qq.com/course/203418,【每日更新】英语口语发音练习   每日免费更新并予以纠正发音,364人最近报名,e学苑在线教育,免费,共234节
//ke.qq.com/course/204932#term_id=100242600,袁辉网络班,3951人购买,袁辉,"￥5,162.22",共175节
//ke.qq.com/course/205047,2020给排水专业真题精粹飞跃班,3269人购买,,"￥3,162.22",2020-7-6开讲
//ke.qq.com/course/206570,proe（creo）零基础入门66例,406人最近报名,东湖教育,免费,共28节
//ke.qq.com/course/209885,大神教你轻松学插画—日系Q版到写实古风 · 匪萌十月基础课,9832人购买,绘梦CG学院,"￥5,052.22",开设2个班级
//ke.qq.com/course/209968#term_id=100516313,室内设计从【CAD施工图、工艺材料、方案预算、谈单沟通】到高级,5503人最近报名,,免费,共9节
//ke.qq.com/course/218013#term_id=100447541,java互联网阶段（阶段四）,405人购买,拓薪教育,"￥5,777.22",共57节
//ke.qq.com/course/21816#term_id=100337234,【VIP】CAD工程师制图直播答疑,75人最近报名,,免费,共2节
//ke.qq.com/course/222950,【VIP】《板绘基础》美术/手绘/绘画/电脑软件/PS/SAI/插画/原画,16人购买,润木艺术,￥776.22,共30节
//ke.qq.com/course/2243#term_id=100467824,室内施工图深化设计（CAD、预算、材料、工艺、现场）,545人最近报名,云艺帆教育,免费,共9节
//ke.qq.com/course/225618,【VIP】适合小白《彩铅基础》手绘/绘画/色彩/美术/排线条/质感,559人购买,润木艺术,"￥5,376.22",共48节
//ke.qq.com/course/225961,软件测试-零基础全栈就业班【乐搏学院】,068人购买,乐搏技术学院,"￥4,162.22",共114节
//ke.qq.com/course/229392,creator 0基础就业班+服务器进阶班,413人购买,博毅创为大学堂,￥762.22,共156节
//ke.qq.com/course/23097,室内方案设计手绘思维布局优化,596人最近报名,云艺帆教育,免费,共6节
//ke.qq.com/course/231470,如何轻松搞定Node.js  进阶全栈工程师必备高薪技能,67人最近报名,博为峰网校在线教育,免费,共8节
//ke.qq.com/course/232802,室内设计全套课程【CAD施工图、工艺材料、方案优化、软装谈单】,9559人最近报名,,免费,共10节
//ke.qq.com/course/234848,免费班（小儿推拿）,877人最近报名,袁辉,免费,共28节
//ke.qq.com/course/234985#term_id=100467824,昼夜诗文　第六季全新开播,5517人最近报名,杨洋,免费,共81节
//ke.qq.com/course/237038,园林景观设计进阶研修班（直接项目实战、一对一指导）,941人购买,秋凌景观设计,"￥8,376.22",2023-8-1开讲
//ke.qq.com/course/24069,3DMAX室内效果图实战（VR、LWF、灯光、材质、配饰、后期、写实）,333人最近报名,云艺帆教育,免费,共8节
//ke.qq.com/course/243244,高中数学 向量提分课必修四必会技巧+【微信】supermath987,804人最近报名,宋超,免费,共2节
//ke.qq.com/course/243737,必修五：数列概念强化—等差等比数列高二数学高考数学高中数学,307人最近报名,数学怪,免费,共5节
//ke.qq.com/course/244856,淘宝运营 店铺搜索玩法快速提升流量【优梯教育】,52人最近报名,优梯教育,免费,共2节
//ke.qq.com/course/245377,Java企业级工程师,8人最近报名,学神IT教育,免费,共10节
//ke.qq.com/course/246826,游戏原画实战就业班VIP,511人购买,米你课堂,￥122.22,进度：28/37节
//ke.qq.com/course/247239,2020年注册电气工程师（发输变电）专业考试教材深度研习班,5341人购买,,"￥5,666.22",随到随学
//ke.qq.com/course/248560,Android-基础学习示例,89人购买,喜科堂互联教育,￥7.72,共6节
//ke.qq.com/course/248624#term_id=100467824,会计实务：报税+做账+报表+发票+新政策+税务筹划+财务软件+答疑,158人最近报名,云财网校,免费,共38节
//ke.qq.com/course/249318,Rs·室内设计-全案设计班「谈单-方案-软装-材料工艺-施工图」,429人最近报名,若水学院,免费,共12节
//ke.qq.com/course/250355,室内设计教程-最新方案优化设计全套流程及SKB的使用【随到随学】,9108人购买,,￥7.72,共3节
//ke.qq.com/course/250565,注册结构工程师专业考试精讲班,100人购买,,"￥3,022.22",开设2个班级
//ke.qq.com/course/251029,千锋Vue组件之手机通讯录实战课程,16人最近报名,扣丁学堂,免费,共25节
//ke.qq.com/course/251222,python自动化+Py全栈+爬虫+Ai=python全能工程师-挑战年薪30万,5284人购买,马哥教育,"￥4,362.22",随到随学
//ke.qq.com/course/253087,大型分布式电商项目【领1000元优惠劵】,060人购买,拓薪教育,￥5.22,共7节
//ke.qq.com/course/253209,纯粹罗肖雯软装设计系统|室内设计师必学的配饰陈设|,082人最近报名,,免费,共39节
//ke.qq.com/course/255002,Unity3D(U3D)从零打造王者荣耀·第一季：Unity基础操作,108人最近报名,丁树凯,免费,共63节
//ke.qq.com/course/255019,婚礼摄影：让照片记录独一无二的爱情故事,058人购买,蜂鸟摄影微课堂,￥577.22,共7节
//ke.qq.com/course/255929,python人工智能全栈开发一期【千锋教育】,533人购买,扣丁学堂,"￥9,622.22",进度：88/88节
//ke.qq.com/course/257023,CorelDRAW 软件系统培训课CDR软件工作实战演习,3315人购买,野马设计学院,￥122.22,开设3个班级
//ke.qq.com/course/259274,【直播】京东关键词排名提升上首页 快车霸屏内容营销【齐论】,5301人最近报名,,免费,共11节
//ke.qq.com/course/260099,2018初级会计实务精讲班【菜子学院】,618人购买,,￥376.22,随到随学
//ke.qq.com/course/260263#term_id=100447541,JAVA互联网进阶架构师体验课_成就更有价值的你#【烛光学院】,5324人最近报名,烛光学院,免费,共47节
//ke.qq.com/course/261278,Spark基础及源码分析视频,08人购买,扣丁学堂,￥57.22,共16节
//ke.qq.com/course/264005,【云峰消防】2020消防工程师免费公开课,900人最近报名,云峰网校,免费,共9节
//ke.qq.com/course/266656,DevOps 工具链最佳实践,520人最近报名,李振良,免费,共6节
//ke.qq.com/course/267477,.Net架构师设计模式全套视频,181人购买,,￥76.22,共25节
//ke.qq.com/course/270266,Rhino 7犀牛 / KeyShot 9 产品设计建模渲染进阶班【卓尔谟教育】,101人购买,,"￥8,322.22",随到随学
//ke.qq.com/course/270615,Cinema 4D 电商特训班VIP,630人购买,云艺帆教育,"￥5,762.22",共5节
//ke.qq.com/course/273314,【公开课】少儿（小学）英语口语三字经免费公开课【金伟博】,56人最近报名,金伟博教育,免费,共2节
//ke.qq.com/course/273548,Java架构技术/微服务技术/互联网技术/架构师公开课【每特教育】,827人最近报名,每特教育,免费,共4节
//ke.qq.com/course/275794,Web安全/kali/黑客信息安全/网络安全/渗透/linux/编程语言/架构,5607人最近报名,,免费,共22节
//ke.qq.com/course/276809,原画人插画基础8期【时若可止、二戈】,038人购买,,"￥3,772.22",随到随学
//ke.qq.com/course/278150#term_id=100337234,短视频自媒体|新媒体赚钱揭秘，头条号|抖音|百家企鹅号趣头条,5179人最近报名,泛学苑自媒体,免费,共5节
//ke.qq.com/course/279601,山本教育情感恋爱学堂/她为何跟你分手？,395人购买,,"￥1,376.22",共5节
//ke.qq.com/course/279607,山本恋爱社交课堂-情感恋爱学堂,363人购买,,"￥9,762.22",共6节
//ke.qq.com/course/282299,3Dmax.maya.zbrush.次世代游戏建模【云普集游戏动漫学院】,5277人最近报名,,免费,共8节
//ke.qq.com/course/284246,【2020中级会计师3科】中级会计职称 初级会计师 CPA注册会计师,822人最近报名,一品老殷会计课,免费,共8节
//ke.qq.com/course/284865#term_id=100337234,AE C4D基础课程快速入门班,5572人购买,木客教育,￥3.62,共28节
//ke.qq.com/course/287130,快速提升学历/高起专/专升本/自考/成人高考/网络教育/,532人最近报名,动脑万卷学历教育,免费,进度：73/73节
//ke.qq.com/course/287319,SolidWorks2016每日一练(三维建模/建模思路/难易错剖析)-公开课,850人最近报名,乐仿,免费,共17节
//ke.qq.com/course/291162,【2020CPA6科】注册会计师 注会会计 中级会计师 初级会计师,011人最近报名,一品老殷会计课,免费,共12节
//ke.qq.com/course/291512#term_id=100337234,Solidworks机械动画-运动仿真-机械方案动画就业班,338人最近报名,云艺帆教育,免费,共6节
//ke.qq.com/course/293059,土建直播公开课1-广联达BIM预算案例实操【启程学院】,107人最近报名,启程学院,免费,共135节
//ke.qq.com/course/293061,安装直播公开课1-广联达BIM预算案例实操【启程学院】,027人最近报名,启程学院,免费,共142节
//ke.qq.com/course/293386,柠檬学院特邀嘉宾定期分享,3人最近报名,柠檬学院,免费,共1节
//ke.qq.com/course/294308,【精品】抖音快手Vlog引流吸粉自媒体|新媒体赚钱|大鱼号百家号,334人最近报名,榕意新媒体学院,免费,共2节
//ke.qq.com/course/297694,2019-中级会计.财务管理.经济法习题班,05人最近报名,得勤会计院,免费,共13节
//ke.qq.com/course/298950#term_id=100516313,【云鹤直通车上】30天直通车入门到精通，教你独立开车到专业水准,88人购买,卖盟学堂,￥377.22,共6节
//ke.qq.com/course/298961,Appium移动app自动化测试高手修炼班Vip体验班,87人最近报名,博为峰网校在线教育,免费,共1节
//ke.qq.com/course/299131,【齐论京东/专注京东培训】京东跨过稽查系统玩法,55人购买,,￥6.62,共1节
//ke.qq.com/course/299200,【齐论京东/专注京东培训】解密2018京东搜索权重的秘密,52人购买,,￥6.62,共1节
//ke.qq.com/course/299202,【齐论京东/专注京东培训】京东15天单词玩法流量破千,31人购买,,￥6.62,共1节
//ke.qq.com/course/305390,【2020初级会计师2科】初级会计职称初级会计实务 CPA中级会计师,512人最近报名,一品老殷会计课,免费,共15节
//ke.qq.com/course/30561#term_id=100467824,室内设计3Dmax建模、效果图实战之零基础到高级,585人最近报名,云艺帆教育,免费,共10节
//ke.qq.com/course/306909,【赠课】19高考语文一轮复习（上）：文学的发现,118人购买,杨洋,￥177.22,共9节
//ke.qq.com/course/308800,淘宝客实战特训营+卓让联盟VIP会员【卓让教育】,556人购买,卓让教育,"￥3,777.22",进度：10/10节
//ke.qq.com/course/308904,高低压电力成套设备维修VIP课程,921人购买,雄飞电气培训,￥166.22,共14节
//ke.qq.com/course/309466,【坤哥物理】中考初中物理从入门到学霸的方法,733人最近报名,坤哥物理,免费,共3节
//ke.qq.com/course/312472,马哥教育VIP学员直播-学员答疑+一对一辅导+实战分享（内部学员）,5672人购买,,"￥5,762.22",共20节
//ke.qq.com/course/312502,爱情恋爱技巧恋爱情商课,880人最近报名,,免费,共2节
//ke.qq.com/course/312805,野马学院【设计思维/VIS设计/Logo设计】VIP高级实战课程,5308人购买,野马设计学院,"￥3,262.22",开设3个班级
//ke.qq.com/course/313421,选修：椭圆概念综合—高中数学高考数学高二数学双曲线抛物线2-1,859人最近报名,数学怪,免费,共6节
//ke.qq.com/course/314344,Android进阶之布局 - 自定义View完全掌握系列二【HenCoder】,79人最近报名,扔物线学堂,免费,共4节
//ke.qq.com/course/314351,Android进阶之触摸反馈 - 自定义View完全掌握系列三【HenCoder】,520人最近报名,扔物线学堂,免费,共2节
//ke.qq.com/course/314533#term_id=100337234,【西瓜商学院】路遥私家打造爆款绝秘玩法,5万人购买,西瓜商学院,￥77.22,共4节
//ke.qq.com/course/315221#term_id=100447541,淘宝美工/电商设计/PS教程/平面/合成/海报/字体/修图/排版/调色,419人最近报名,杰视帮,免费,共15节
//ke.qq.com/course/315230#term_id=100467824,原画人零基础入门15期【苗苗】,036人购买,,￥272.22,随到随学
//ke.qq.com/course/315243,3Dmax.Maya.ZBrush次世代动漫游戏场景角色建模制作【极视教育】,836人最近报名,极视教育,免费,共19节
//ke.qq.com/course/317244,【爆款】1小时教你KA商家操作的2种成功方法【齐论】,5人最近报名,,免费,共2节
//ke.qq.com/course/317248,【爆款】深度解析您想知道的京东人为干预玩法【齐论】,5人最近报名,,免费,共2节
//ke.qq.com/course/320546,2020年环境影响评价师免费公开课,81人最近报名,华清陈工培训,免费,共10节
//ke.qq.com/course/322003,【VIP】30天教你做“网红讲师” 公开课讲师  微课  个人品牌打造,895人购买,网师学院,"￥5,376.22",共6节
//ke.qq.com/course/322853,JavaEE就业班（第四阶段）,507人购买,柠檬学院,"￥3,577.22",共17节
//ke.qq.com/course/324939,2020高考• 英语核心语法速成班,441人最近报名,快乐课堂 so easy,免费,共4节
//ke.qq.com/course/325969,纯粹-黄恺室内设计与平面布局户型优化（方案设计试学课）,484人购买,,￥52.22,进度：1/1节
//ke.qq.com/course/326613,PS教程 零基础入门 /摄影后期/精修/调色/风光 为课网校,5097人购买,,￥2.23,共10节
//ke.qq.com/course/327427,三层综合办公楼（量筋合一）-土建工程造价案例实操【启程学院】,3812人购买,启程学院,￥677.22,随到随学
//ke.qq.com/course/327534,Python全栈开发/爬虫/人工智能/机器学习/数据分析【扣丁学堂】,42人最近报名,扣丁学堂,免费,共2节
//ke.qq.com/course/329070,不止于就业前端技术|JavaScript底层核心|组件化开发|JS|Vue|Node,908人最近报名,妙思维JS++,免费,共27节
//ke.qq.com/course/331702,2019年初级经济法提升班，2019年经济法、2019初级,348人购买,畅格财税,￥76.22,共11节
//ke.qq.com/course/332755#term_id=100394969,PPTP格的正确玩法,83人购买,威领word excel ppt,免费,共8节
//ke.qq.com/course/332970,PS教程 PS淘宝美工 平面设计 海报设计/店铺装修/详情页 为课网校,5202人购买,,￥2.23,共3节
//ke.qq.com/course/333016,Workbench公开课,523人最近报名,乐仿,免费,共26节
//ke.qq.com/course/333216,“金三银四”一线大厂面试专题,5232人购买,享学课堂,"￥3,562.22",共22节
//ke.qq.com/course/333755,室内设计联盟 大话风水 系列课程  刘坤主讲,336人购买,室内设计联盟,￥111.22,开设2个班级
//ke.qq.com/course/334307,软件测试高薪就业速成班3-12期,546人购买,,"￥53,822",开设3个班级
//ke.qq.com/course/334463,会计上岗私塾班-40人小班教学,315人购买,,"￥5,377.22",共9节
//ke.qq.com/course/336472,电工维修课程答疑课，报名请联系微信：DQFX6666,47人最近报名,雄飞电气培训,免费,共1节
//ke.qq.com/course/336474,商业人像后期高级班 为课网校,5603人购买,,"￥3,977.22",随到随学
//ke.qq.com/course/336567,【录播】初中英语语法知识学习-跟海斌老师学语法 免费公开课加群,575人最近报名,e学苑在线教育,免费,共6节
//ke.qq.com/course/336623,html+css零基础7天入门【六星教育】,63人购买,杰越学院,￥7.72,共7节
//ke.qq.com/course/337833,存储HCIE大咖带你三个月高薪就业【誉天教育】,08人最近报名,誉天教育,免费,进度：62/62节
//ke.qq.com/course/3387,C4D/PS/CDR/AI新锐平面视觉设计 字体设计 logo设计 色彩版式,802人最近报名,云艺帆教育,免费,共6节
//ke.qq.com/course/34028,c4d电商实战/c4d电商设计/C4D电商装修/首页设计,563人最近报名,云艺帆教育,免费,共13节
//ke.qq.com/course/341536,【爆款】京东平台严查期间如何弯道超车上排名【齐论】,2人最近报名,,免费,共2节
//ke.qq.com/course/341537,自考本科【00023】高等数学（工本）通关秘籍【动脑学历教育】,04人最近报名,动脑万卷学历教育,免费,进度：4/4节
//ke.qq.com/course/341571,【爆款】5天实现京东首页为你推荐流量破千【齐论】,2人最近报名,,免费,共2节
//ke.qq.com/course/342349,【恩维客教育】室内设计装饰施工图录播课,425人购买,,￥7.72,共14节
//ke.qq.com/course/344885,初二、初三物理实验专项训练（教会方法➕ 传授思想）,370人最近报名,爱沃课教育,免费,共10节
//ke.qq.com/course/349354#term_id=100467824,C/C++入门到精通企业级项目实战,596人最近报名,,免费,共15节
//ke.qq.com/course/349356,Web前端开发高级工程师进阶班第九期【渡一教育】,545人购买,,"￥4,377.22",共12节
//ke.qq.com/course/349685,Linux云计算架构师进阶班-Docker-K8s-Devops-Openstack-1对1辅导,852人购买,,"￥1,772.22",进度：1/43节
//ke.qq.com/course/350191,【VIP】板绘日漫插画【合尚教育】,09人购买,合尚教育,"￥8,892.22",2020-3-3开讲
//ke.qq.com/course/350464,2020消防工程师：实务串讲班【云峰网校】,5742人购买,云峰网校,￥176.22,共13节
//ke.qq.com/course/352063,马哥linux教程-2019全新Nginx实战web服务企业实战,969人购买,,￥5.22,共1节
//ke.qq.com/course/352745,版式设计就这几招——最强版式设计课程（体验）,859人购买,品格设计课堂,￥53.72,共12节
//ke.qq.com/course/354425,【摄影】摄影零基础班-新版/张沛/录播/中艺,0294人购买,中艺影像,￥17.22,共20节
//ke.qq.com/course/354578,【摄影】品质操控-摄影基础/田红/录播/中艺,8680人购买,中艺影像,￥17.22,共20节
//ke.qq.com/course/354698,2019年浙江省公务员考试—笔试系统班,080人购买,思政教育,￥762.22,进度：49/49节
//ke.qq.com/course/354776,【VIP】CG原画/插画基础班,5996人购买,合尚教育,"￥8,412.22",进度：4/20节
//ke.qq.com/course/361021,【教书匠课堂】2020执业药师-药学综合知识与技能-历年真题班,95人最近报名,,免费,共4节
//ke.qq.com/course/362193,2020年软考系统集成项目管理工程师--基础知识 精讲免费视频,320人最近报名,小任老师,免费,共10节
//ke.qq.com/course/362917,学习新媒体运营教程|今日头条号培训百家号企鹅号自媒体短视频,01人最近报名,泛学苑自媒体,免费,共4节
//ke.qq.com/course/363002,字体设计方法及实战,630人购买,野马设计学院,￥762.22,共6节
//ke.qq.com/course/364348,人工智能商业实战AI深度学习/机器学习/Python/大数据_咕泡教育,986人最近报名,咕泡教育,免费,共10节
//ke.qq.com/course/365501,初中物理｜中考物理电学满分技巧课,102人最近报名,上课铃教育,免费,共4节
//ke.qq.com/course/365876,【官方推荐】红帽Linux认证RHCE基础班,800人购买,,￥377.22,2020-2-13开讲
//ke.qq.com/course/367218,新手7天百单 “年前弯道超车” 绝密技巧,503人购买,,￥7.72,共1节
//ke.qq.com/course/368697#term_id=100516313,Python人工智能精选集,563人最近报名,软谋教育,免费,共8节
//ke.qq.com/course/369668,软装设计之色彩美学,74人购买,室内设计联盟,￥177.22,开设2个班级
//ke.qq.com/course/371032,CLO服装3D打板/3D立裁试衣软件服装打板VIP,338人购买,山本教育,"￥5,922.22",进度：1/8节
//ke.qq.com/course/37111#term_id=100337234,UG塑胶模具设计入门到通精2D排位-3D分模全3D高级汽车模全套案例,018人最近报名,,免费,共11节
//ke.qq.com/course/371348,0基础构建Hadoop/Spark大数据平台【大讲台】,537人最近报名,大讲台,免费,共10节
//ke.qq.com/course/371612,【恩维客教育】3Dmax超写实效果图教程,372人购买,,￥7.72,共8节
